date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:39	21180/21180	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:39%20GMT	https://caliph.my.id/harga-domain-my-id-dan-biz-id-naik-ini-yang-perlu-kamu-tahu	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/harga-domain-my-id-dan-biz-id-naik-ini-yang-perlu-kamu-tahu.html	(from https://caliph.my.id/)
14:54:39	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267f004aa-302c%22	https://caliph.my.id/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://caliph.my.id/)
14:54:39	44024/44024	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Apr%202024%2013:37:30%20GMT	https://caliph.my.id/public/storage/thumbnails/2cd4fb12445e950a1bd65a77d5c91f21.jpg	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/public/storage/thumbnails/2cd4fb12445e950a1bd65a77d5c91f21.jpg	(from https://caliph.my.id/)
14:54:40	15421/15421	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Jun%202022%2015:32:32%20GMT	https://caliph.my.id/public/storage/default.jpg?v=2	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/public/storage/default5e1f.jpg	(from https://caliph.my.id/)
14:54:40	16726/16726	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:40%20GMT	https://caliph.my.id/blog/internet	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/blog/internet.html	(from https://caliph.my.id/)
14:54:40	90631/90631	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Mar%202024%2002:56:00%20GMT	https://caliph.my.id/public/storage/avatar/0f180002204ea2fd39a3993cbbd880ec.jpg	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/public/storage/avatar/0f180002204ea2fd39a3993cbbd880ec.jpg	(from https://caliph.my.id/)
14:54:41	23232/23232	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:40%20GMT	https://caliph.my.id/memahami-fork-bomb-serangan-denial-of-service-pada-linux-dan-cara-mencegahnya	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/memahami-fork-bomb-serangan-denial-of-service-pada-linux-dan-cara-mencegahnya.html	(from https://caliph.my.id/)
14:54:41	26797/26797	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Mar%202024%2022:24:45%20GMT	https://caliph.my.id/public/storage/thumbnails/f473ececf7db55dc723c0b6f486c5b1a.png	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/public/storage/thumbnails/f473ececf7db55dc723c0b6f486c5b1a.png	(from https://caliph.my.id/)
14:54:41	15001/15001	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:41%20GMT	https://caliph.my.id/blog/linux	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/blog/linux.html	(from https://caliph.my.id/)
14:54:41	21457/21457	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:41%20GMT	https://caliph.my.id/apa-itu-gpu	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/apa-itu-gpu.html	(from https://caliph.my.id/)
14:54:42	164685/164685	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202024%2006:39:35%20GMT	https://caliph.my.id/public/storage/thumbnails/206aeba877664c0a5971750bf73cedf7.png	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/public/storage/thumbnails/206aeba877664c0a5971750bf73cedf7.png	(from https://caliph.my.id/)
14:54:42	18945/18945	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:42%20GMT	https://caliph.my.id/blog/tech	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/blog/tech.html	(from https://caliph.my.id/)
14:54:42	15009/15009	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:42%20GMT	https://caliph.my.id/blog/hardware	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/blog/hardware.html	(from https://caliph.my.id/)
14:54:43	23500/23500	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:42%20GMT	https://caliph.my.id/apa-itu-javascript	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/apa-itu-javascript.html	(from https://caliph.my.id/)
14:54:43	16572/16572	---M--	200	added ('OK')	image/jpeg	date:Sat,%2017%20Feb%202024%2003:24:36%20GMT	https://caliph.my.id/public/storage/thumbnails/d39aa4eb42911f3a1e0f370543449272.jpg	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/public/storage/thumbnails/d39aa4eb42911f3a1e0f370543449272.jpg	(from https://caliph.my.id/)
14:54:43	16727/16727	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:43%20GMT	https://caliph.my.id/blog/programming	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/blog/programming.html	(from https://caliph.my.id/)
14:54:44	677794/677794	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/js/jquery.bundle.js	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/js/jquery.bundle.js	(from https://caliph.my.id/)
14:54:45	39511/39511	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2025%20Jan%202023%2022:43:46%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/js/scripts.js	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/js/scripts.js	(from https://caliph.my.id/)
14:54:47	15698/15698	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/js/charts.js	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/js/charts.js	(from https://caliph.my.id/)
14:54:48	3809/3809	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/js/typed.min.js	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/js/typed.min.js	(from https://caliph.my.id/)
14:54:50	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2009%20Apr%202025%2009:24:48%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/owl.video.play.png	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/owl.video.play.png	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:54:50	36856/36856	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Ikon-Crypto.ttf?h952os	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Ikon-Crypto9015.ttf	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:54:51	36932/36932	---M--	200	added ('OK')	font/woff	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Ikon-Crypto.woff?h952os	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Ikon-Crypto9015.woff	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:54:51	111990/111990	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Ikon-Crypto.svg?h952os	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Ikon-Crypto9015.svg	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:54:51	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/themify.eot	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/themify.eot	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:54:52	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/themify.eot?	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/themifyd41d.eot	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:54:52	56108/56108	---M--	200	added ('OK')	font/woff	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/themify.woff	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/themify.woff	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:54:53	78584/78584	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/themify.ttf	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/themify.ttf	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:54:53	234269/234269	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/themify.svg?	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/themifyd41d.svg	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:54:55	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2009%20Apr%202025%2009:24:53%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/images/sort_both.png	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/images/sort_both.png	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:54:57	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2009%20Apr%202025%2009:24:55%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/images/sort_asc.png	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/images/sort_asc.png	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:54:58	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2009%20Apr%202025%2009:24:57%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/images/sort_desc.png	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/images/sort_desc.png	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:55:00	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2009%20Apr%202025%2009:24:59%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/images/sort_asc_disabled.png	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/images/sort_asc_disabled.png	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:55:02	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2009%20Apr%202025%2009:25:01%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/images/sort_desc_disabled.png	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/images/sort_desc_disabled.png	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:55:04	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2009%20Apr%202025%2009:25:03%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/fonts/flexslider-icon.eot	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/fonts/flexslider-icon.eot	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:55:06	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2009%20Apr%202025%2009:25:05%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/fonts/flexslider-icon.eot?	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/fonts/flexslider-icond41d.eot	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:55:09	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2009%20Apr%202025%2009:25:07%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/fonts/flexslider-icon.woff	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/fonts/flexslider-icon.woff	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:55:11	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2009%20Apr%202025%2009:25:09%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/fonts/flexslider-icon.ttf	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/fonts/flexslider-icon.ttf	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:55:13	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2009%20Apr%202025%2009:25:12%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/fonts/flexslider-icon.svg	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/fonts/flexslider-icon.svg	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557)
14:55:14	147200/147200	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Bold.eot	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Bold.eot	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:15	49132/49132	---M--	200	added ('OK')	font/woff2	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Bold.woff2	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Bold.woff2	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:15	147200/147200	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Bold.eot?	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Boldd41d.eot	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:16	67920/67920	---M--	200	added ('OK')	font/woff	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Bold.woff	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Bold.woff	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:16	146936/146936	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Bold.ttf	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Bold.ttf	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:16	152520/152520	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Light.eot	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Light.eot	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:17	152520/152520	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Light.eot?	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Lightd41d.eot	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:17	49268/49268	---M--	200	added ('OK')	font/woff2	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Light.woff2	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Light.woff2	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:18	68596/68596	---M--	200	added ('OK')	font/woff	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Light.woff	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Light.woff	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:18	152236/152236	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Light.ttf	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Light.ttf	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:18	148228/148228	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-SemiBold.eot	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-SemiBold.eot	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:19	148228/148228	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-SemiBold.eot?	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-SemiBoldd41d.eot	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:19	48924/48924	---M--	200	added ('OK')	font/woff2	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-SemiBold.woff2	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-SemiBold.woff2	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:19	67820/67820	---M--	200	added ('OK')	font/woff	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-SemiBold.woff	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-SemiBold.woff	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:20	147932/147932	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-SemiBold.ttf	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-SemiBold.ttf	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:20	149600/149600	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Medium.eot	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Medium.eot	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
14:55:20	149600/149600	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Medium.eot?	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/fonts/Poppins-Mediumd41d.eot	(from https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557)
